pop,sample,cassette,slidemade,slide scored,H,A,V,Total,Note
6,8,1,y,1,49,37,0,55,
1,5,2,y,1,41,13,1,53,
5,5,3,y,1,54,37,3,58,
6,7,4,y,1,36,18,0,58,
1,19,5,y,1,57,48,11,61,
7,3,6,y,1,46,23,4,60,
3,1,7,y,1,31,12,0,56,
6,9,8,y,1,26,15,2,58,
7,16,9,y,1,52,45,4,55,
8,13,10,y,1,43,30,4,57,
9,15,11,y,1,40,22,1,57,
6,17,12,y,1,51,33,2,59,
9,11,13,y,1,53,29,3,62,
7,7,14,y,1,51,33,2,57,
6,10,15,y,1,44,13,4,61,
9,6,16,y,1,57,41,27,60,lots of vesicles
6,5,17,y,1,50,37,2,58,
4,9,18,y,1,43,29,0,59,weird lines on lots of roots
10,20,19,y,1,39,22,2,55,
5,7,20,N,,,,,,
3,16,22,y,1,63,60,25,63,
6,1,23,y,1,38,11,3,63,
1,11,24,m,,,,,,
5,13,24,m,,,,,,
NA,NA,24,,1,54,44,4,56,"Just 24, can't assign to pop; for 2 that have"
NA,NA,24,,1,61,50,10,64,"Just 24, can't assign to pop; for 2 that have"
8,1,24,m,,,,,,
5,12,25,y,1,47,34,5,57,
10,15,26,y,1,45,36,2,56,
5,15,27,y,1,51,34,5,59,
10,19,28,y,1,53,38,5,56,
5,16,30,y,1,56,48,4,60,
8,9,31,y,1,55,34,4,61,one obs at 3.5 has odd hyphae
9,20,32,y,1,40,33,0,61,
5,14,33,y,1,46,39,4,60,
2,4,34,y,1,39,21,4,58,
2,5,35,y,1,37,27,1,59,
10,16,36,y,1,42,32,4,59,
5,10,37,y,1,52,45,6,60,
5,8,38,y,1,56,47,13,63,
5,19,39,y,1,54,53,15,56,
4,5,40,y,1,48,33,11,55,
7,13,41,y,1,54,42,4,60,
3,7,42,y,1,50,36,12,58,
6,2,43,y,1,32,7,1,60,
3,6,44,y,1,39,31,3,57,
8,6,45,y,1,51,44,3,60,
7,10,46,y,1,45,33,6,69,
6,14,47,y,1,33,17,1,55,
3,2,48,y,1,50,35,2,61,
10,14,49,N,,,,,,
2,14,50,y,1,46,41,5,59,
10,4,51,y,1,34,18,2,56,
4,7,52,y,1,53,45,11,57,
6,13,53,y,1,27,13,1,58,
4,20,54,y,1,52,35,4,60,
4,13,55,y,1,52,35,1,58,
9,3,56,N,,,,,,
2,6,57,N,,,,,,
4,8,58,y,1,56,34,5,58,
1,3,59,y,1,55,44,6,58,
5,20,60,y,1,53,47,17,56,
8,15,61,y,1,47,31,4,57,
4,3,62,N,,,,,,
5,17,63,y,1,63,57,1,65,
10,3,64,y,1,40,28,1,55,
8,2,65,N,1,20,8,0,56,slide hard to see roots in general
7,15,66,y,1,40,31,1,55,
9,14,67,y,1,41,18,1,55,
6,6,68,y,1,45,31,1,56,
5,18,69,y,1,51,44,4,57,
8,12,70,y,1,52,49,1,59,
3,8,71,y,1,67,57,16,69,
7,18,72,y,1,49,39,3,56,
6,11,73,y,1,41,23,0,60,
9,10,74,y,1,54,44,19,56,
4,16,75,y,1,53,43,7,57,
3,4,76,y,1,37,23,1,55,
9,19,77,y,1,37,28,3,55,
7,6,78,y,1,55,42,6,55,
4,12,79,y,1,53,32,3,70,
1,7,80,y,1,62,44,6,67,
6,19,81,y,1,53,40,2,60,
7,12,82,y,1,56,46,6,57,
7,20,83,y,1,53,41,5,64,
10,10,84,y,1,48,42,4,59,
3,5,85,y,1,53,38,5,57,
3,10,86,y,1,42,21,10,56,
7,9,87,y,1,35,22,0,56,
9,8,88,y,1,55,41,6,59,
9,13,89,y,1,57,45,11,59,
6,16,90,N,,,,,,
1,1,91,y,1,59,41,20,60,
5,9,92,y,1,42,27,0,62,
9,17,93,y,1,48,42,3,57,
5,3,94,N,,,,,,
3,17,95,y,1,52,21,0,72,
1,10,96,y,1,45,30,5,59,
9,2,97,y,1,60,56,19,61,
3,9,98,y,1,41,24,3,64,
1,20,99,y,1,57,53,19,61,
7,11,100,y,1,59,56,7,59,
7,1,101,y,1,58,51,7,59,
3,18,102,y,1,55,52,2,58,
3,12,103,N,,,,,,
1,14,104,y,1,53,44,20,55,
1,13,105,y,1,58,51,11,58,
4,1,106,N,,,,,,
4,2,107,y,1,53,40,7,55,
5,1,108,y,1,57,52,9,57,
3,11,109,y,1,33,20,2,60,
4,15,110,y,1,53,39,10,56,
7,17,111,N,,,,,,
9,7,112,y,1,55,49,15,55,
10,5,113,N,,,,,,
1,4,114,y,1,39,24,2,55,
10,13,115,y,1,49,40,0,61,
2,1,116,N,,,,,,
8,20,117,N,,,,,,
4,18,118,y,1,50,35,9,57,
6,12,119,y,1,31,17,0,59,
8,5,120,N,,,,,,
1,17,121,N,,,,,,
8,10,122,y,1,59,44,6,59,
10,7,123,y,1,55,49,1,55,
4,9,124,y,1,57,12,1,58,
8,3,125,N,,,,,,
3,15,126,y,1,48,39,1,60,
8,8,127,N,,,,,,
7,14,128,y,1,59,51,12,63,
7,5,129,N,,,,,,
9,5,130,N,,,,,,
1,8,131,N,,,,,,
9,18,132,N,,,,,,
9,4,133,y,1,54,48,9,55,slide hard to see roots in general
10,6,134,m,,,,,,one of these 134
NA,NA,134,y,1,35,25,1,60,134 unk which
10,8,134,m,,,,,,one of these 134
7,4,135,N,,,,,,
10,1,136,y,1,44,40,5,61,
1,18,137,y,1,58,54,12,58,
7,2,138,y,1,50,36,7,57,
7,19,140,N,,,,,,
8,7,141,N,,,,,,
4,14,142,N,,,,,,
2,17,143,N,,,,,,
5,6,144,y,1,55,46,6,63,
8,4,145,y,1,18,9,0,63,
2,15,146,N,,,,,,
4,17,147,N,,,,,,
10,18,148,y,1,57,45,11,57,
2,12,149,m,,,,,,
NA,NA,149,y,1,44,34,4,61,this one placed as though it is the “real” 149 from pop 2 plant #12 in slide box
3,13,150,y,1,51,31,1,61,
8,11,151,N,,,,,,
5,2,152,N,,,,,,
4,11,153,N,,,,,,
1,15,154,y,1,54,52,5,57,
2,16,155,N,,,,,,
2,3,156,y,1,42,34,0,58,slide hard to see roots in general
3,14,157,N,,,,,,
6,4,158,N,,,,,,
9,12,159,y,1,52,39,2,57,
8,8,160,N,,,,,,
2,19,161,N,,,,,,
5,11,162,N,,,,,,
10,12,163,y,1,47,42,10,60,
10,9,164,y,1,28,13,0,55,
10,17,165,y,1,55,52,6,56,
3,20,166,N,,,,,,
9,1,167,y,1,51,46,2,57,"label smudged, 167 deduced from confident id of slides 67 & 27"
3,17,168,N,,,,,,
2,9,169,N,,,,,,
2,7,170,y,1,66,51,4,72,
3,10,171,N,,,,,,
6,18,172,N,,,,,,
4,6,173,N,,,,,,
8,19,174,N,,,,,,
1,16,175,N,,,,,,
3,3,176,N,,,,,,
2,20,177,N,,,,,,
1,9,178,N,,,,,,
2,11,179,N,,,,,,
9,16,180,N,,,,,,
2,18,181,N,,,,,,
5,4,182,N,,,,,,
6,3,183,N,,,,,,
6,20,184,N,,,,,,
8,16,185,N,,,,,,
7,8,186,N,,,,,,
2,13,187,N,,,,,,
10,2,188,N,,,,,,
7,5,189,y,1,45,30,0,55,slide hard to see roots in general
4,4,190,y,1,17,9,0,58,the regular (non-trypan) version
1,2,191,N,,,,,,
4,10,192,N,,,,,,
2,8,193,N,,,,,,
8,18,194,N,,,,,,
8,17,195,N,,,,,,
1,6,196,N,,,,,,
9,9,197,N,,,,,,
6,15,198,N,,,,,,
2,2,199,N,,,,,,
10,11,200,N,,,,,,
NA,NA,149,y,1,59,54,7,61,"Labeled 149, but presumed incorrect"
