"lon","lat","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
-99.61624973,19.15135701,102,113,132,146,154,153,143,144,142,133,118,105
-99.632908,19.160612,99,110,128,143,152,148,139,140,138,129,116,103
-98.86284999,19.14572706,117,127,150,165,170,167,158,159,155,147,130,121
-99.12695671,19.21173915,111,123,146,162,168,166,157,158,152,143,125,115
-99.50145177,18.95377955,158,170,192,207,211,201,193,192,187,185,174,161
-98.8427936,19.07692647,116,124,146,160,165,160,152,152,151,143,127,117
-98.80872544,19.21163891,119,131,153,167,173,169,161,162,159,149,133,123
-99.72212297,19.26042678,103,114,132,145,151,148,139,138,137,130,116,106
-98.92248052,19.50457142,117,130,154,169,178,179,169,169,165,153,135,123
-99.06971343,18.97574499,179,188,206,218,220,210,202,199,197,194,187,180
